	Country	City	Latitude	Longitude	Temperature	Humidity	Cloudiness	Wind Speed
4557	ca	creemore	44.32	-80.1	26.6	68	1	12.1
11566	fr	dole	47.09	5.49	32	71	0	8.05
27050	ph	anislag	13.07	123.7	83.1	81	0	3.15
36326	ru	khvastovichi	53.47	35.09	16.32	86	92	7.96
5601	ci	mankono	8.06	-6.19	75.99	85	0	7.4
28242	ph	guinticgan	11.56	123.12	84.81	75	0	9.42
20226	it	carlentini	37.27	15.02	47.21	81	0	4.7
115	al	maliq	40.71	20.7	40.08	100	92	6.73
30145	ph	san vicente	15.84	120.5	86.52	71	0	4.61
26054	no	skjold	59.52	5.58	35.6	100	80	5.82
31962	py	mbuyapey	-26.2	-56.75	71.85	84	92	10.2
46628	za	lebowakgomo	-24.2	29.5	66.2	88	0	4.05
36472	ru	kopyevo	54.99	89.82	18.39	72	64	3.71
35767	ru	dukhovnitskoye	52.48	48.21	11.1	84	88	5.5
25011	my	kuala kangsar	4.77	100.93	79.05	88	75	3.36
10222	dm	marigot	15.53	-61.3	78.96	98	56	18.7
1829	be	wingene	51.07	3.27	34.2	95	75	6.93
23834	mx	guelavia	16.78	-96.33	73.4	40	90	6.93
13177	gh	elmina	5.08	-1.35	81.93	97	64	11.99
1537	be	hasselt	50.93	5.33	31.41	74	0	10.29
34929	rs	mali idos	45.71	19.67	32	84	75	3.36
30081	ph	santa paz	10.27	124.78	82.29	90	36	5.73
8691	de	cuxhaven	53.88	8.7	28.4	92	48	4.7
36385	ru	klimovsk	55.36	37.53	26.1	62	0	2.24
9956	dk	ejby	55.43	9.93	25.68	86	56	3.36
2783	br	coronel fabriciano	-19.52	-42.63	78.42	69	92	5.95
2742	br	coari	-4.11	-63.14	78.15	94	32	2.93
6830	co	el guamo	10.03	-74.98	79.59	75	12	9.19
30190	ph	sibulao	7.32	122.24	87.8	62	40	4.7
6414	cn	xiaoweizhai	26.19	107.51	43.32	91	92	4.27
6394	cn	wuhan	30.58	114.27	44.6	100	0	2.24
9376	de	nidderau	50.25	8.9	29.77	79	0	5.82
5242	cg	brazzaville	-4.26	15.28	77.95	78	92	1.12
39074	ru	yartsevo	55.07	32.7	19.11	80	80	3.49
26107	no	tolga	62.42	11.0	28.4	86	24	9.17
11580	fr	elancourt	48.78	1.96	32.67	87	0	10.29
19991	ir	shushtar	32.05	48.86	59	47	0	2.24
4249	br	videira	-27.0	-51.13	63.12	97	20	5.61
948	au	victor harbor	-35.55	138.62	66.2	39	20	13.87
16731	ie	youghal	51.95	-7.85	35.6	80	20	3.36
3143	br	itau de minas	-20.72	-46.75	68.34	89	12	2.82
7318	co	san juan nepomuceno	9.95	-75.08	79.59	75	12	9.19
27604	ph	buray	10.72	122.46	87.87	55	0	11.65
1947	bg	elin pelin	42.67	23.6	39.2	100	20	3.36
30270	ph	sumalig	8.0	123.66	83.19	79	12	4.27
39363	sd	kusti	13.17	32.67	64.2	56	0	2.71
29424	ph	paolbo	13.71	123.25	83.55	80	8	9.86
34038	ro	roma	47.83	26.6	24.8	79	20	13.87
10346	ec	montalvo	-1.8	-79.33	64.11	97	68	2.26
20017	is	eyrarbakki	63.87	-21.15	37.4	74	90	2.24
42539	us	san pablo	37.96	-122.34	54.25	100	90	4.7
21234	jp	atami	35.09	139.07	39.22	93	75	35.57
6206	cn	mingshui	47.17	125.92	32.25	86	0	12.55
20472	it	giulianova	42.75	13.95	44.6	81	92	13.87
33391	ro	lesu	47.32	24.75	22.44	93	44	1.92
31293	pl	pszow	50.04	18.4	24.8	68	88	3.36
23049	mn	moron	49.65	100.15	29.55	37	0	4.72
37688	ru	podolsk	55.42	37.55	26.08	62	0	2.24
30325	ph	taga	17.58	121.37	77.25	63	0	2.26
25478	nl	bodegraven	52.09	4.76	32.65	100	0	3.36
21059	it	torre del greco	40.78	14.37	50.4	58	40	12.75
748	at	velden am worthersee	46.62	14.05	27.46	58	75	2.24
46470	ws	falealupo	-13.5	-172.8	83.82	100	20	14.12
28749	ph	lumbayao	6.95	122.14	87.8	62	40	4.7
5184	cd	mangai	-4.05	19.53	73.11	95	68	2.04
38364	ru	staryye atagi	43.09	45.72	48.18	93	100	8.63
35988	ru	ikon-khalk	44.31	41.91	47.28	93	68	8.97
16182	id	baki	-7.61	110.78	86.61	56	0	3.6
19074	in	purushottampur	19.53	84.88	87.15	31	0	3.15
1827	be	wijnegem	51.23	4.53	32.88	83	0	4.7
32877	ro	darmanesti	44.92	25.78	25.74	92	56	5.82
30572	ph	tuka	6.52	124.58	87.69	60	12	1.7
6321	cn	shouguang	36.88	118.74	42.6	74	64	6.17
43187	us	sandpoint	48.28	-116.55	47.1	49	75	3.38
42072	us	tuscaloosa	33.21	-87.57	50	81	90	9.17
42573	us	south san jose hills	34.01	-117.9	66.94	32	90	3.36
18456	in	madhugiri	13.66	77.21	78.78	51	0	5.73
28390	ph	jomalig	14.71	122.37	80.22	100	44	9.75
7046	co	manta	5.01	-73.54	46.2	97	44	1.25
22911	mk	rostusa	41.61	20.6	32.79	98	92	1.36
16046	hu	taktaharkany	48.08	21.13	21.2	79	0	2.24
35141	ru	alnashi	56.19	52.48	4.26	79	12	8.19
24009	mx	lagos de moreno	21.35	-101.92	76.14	8	5	4.7
19071	in	purna	19.18	77.05	80.22	37	0	9.19
32651	ro	chitila	44.51	25.98	25.68	92	32	2.24
18766	in	narasapur	16.45	81.67	82.74	97	0	5.5
8111	cz	mikulovice	50.3	17.32	23.52	92	76	10.31
15577	hu	godollo	47.6	19.36	30.2	86	90	9.17
21850	jp	tenno	39.9	139.97	35.6	47	0	8.05
32505	ro	bustuchin	44.97	23.73	20.01	75	76	2.71
46069	us	clarksburg	39.28	-80.34	35.15	69	90	11.41
7443	co	tasco	5.91	-72.78	47.91	93	44	0.36
31978	py	pirapo	-26.85	-55.53	67.62	94	12	4.27
20648	it	montecchio maggiore	45.5	11.4	37.96	60	40	10.29
37236	ru	nizhniy bestyakh	61.96	129.91	-7.61	69	0	4.47
29355	ph	paluan	13.42	120.46	84.45	88	0	2.93
7638	cr	san rafael arriba	9.88	-84.08	73.4	73	40	6.93
29803	ph	san felipe	15.06	120.07	82.26	66	20	9.17
2924	br	gaspar	-26.93	-48.97	69.8	94	40	4.7
31804	pt	seia	40.42	-7.71	30.72	73	0	4.27
41194	ua	boyany	48.27	26.13	24.8	79	20	13.87
11184	et	kibre mengist	5.88	38.98	49.98	82	20	2.71
25263	ng	gbongan	7.47	4.35	75.54	95	56	3.38
17663	in	farrukhnagar	28.45	76.82	73.4	53	75	3.71
15477	hu	csokmo	47.03	21.3	28.4	74	68	10.29
35158	ru	andreapol	56.65	32.27	19.74	87	76	4.83
44877	us	albemarle	35.35	-80.2	42.17	100	90	13.87
10937	es	motril	36.75	-3.52	35.6	93	0	1.12
44117	us	troy	42.61	-83.15	30.36	63	1	13.87
2786	br	corrente	-10.44	-45.13	67.35	96	12	2.93
16611	ie	carrick-on-suir	52.35	-7.41	32.25	100	12	4.94
10008	dk	herning	56.13	8.98	25.38	86	92	6.93
4573	ca	deseronto	44.2	-77.03	27.48	39	20	13.87
19662	in	udaipur	23.53	91.48	66.2	88	0	4.27
26293	nz	taneatua	-38.07	177.02	67.89	100	24	5.95
980	az	gilazi	40.87	49.34	55.65	68	8	6.73
33063	ro	fratesti	43.97	25.97	25.65	92	36	2.24
14294	gr	thimiana	38.32	26.13	55.92	94	0	13
10594	eg	cairo	30.05	31.25	64.4	18	0	16.11
36565	ru	krasnokholm	51.6	54.16	8.58	65	24	5.95
26730	pe	palpa	-14.53	-75.19	57.27	85	64	2.15
38857	ru	verkhnechusovskiye gorodki	58.17	57.11	6.06	80	0	10.42
2194	bo	machacamarca	-18.17	-67.03	44.31	100	0	7.18
37204	ru	nikolayevka	54.15	45.14	2.46	66	68	2.93
33330	ro	ivanesti	46.65	27.45	26.6	86	90	5.28
26785	pe	santa rosa	-6.77	-79.83	69.8	88	0	13.87
16294	id	jatibarang	-6.97	109.06	83.55	70	20	2.15
4416	ca	aldergrove	49.06	-122.46	48.58	66	1	1.36
36450	ru	komsomolskoye	55.26	47.54	3.99	71	20	2.71
19963	ir	ramhormoz	31.28	49.6	60.8	55	0	3.49
31961	py	mbutuy	-24.97	-56.3	74.19	89	80	6.4
23885	mx	huichapan	20.38	-99.65	68	49	5	17.22
22750	md	leova	46.48	28.26	19.65	89	0	5.73
46078	us	south charleston	38.37	-81.7	44.6	93	90	4.94
15966	hu	sarkeresztur	47.01	18.54	27.12	94	92	8.41
23557	mx	chautla	18.95	-98.15	60.8	59	40	8.05
1212	ba	stupari	44.31	18.68	26.6	100	90	8.05
37999	ru	sasykoli	47.55	47.0	30.45	97	92	7.96
34573	ro	ulmeni	45.07	26.65	18.03	76	48	3.15
27973	ph	cullalabo	17.1	121.7	80.94	78	0	4.94
11404	fr	beausoleil	43.75	7.42	44.96	74	75	10.29
19921	ir	khorramshahr	30.44	48.17	62.6	67	0	1.36
8514	de	bad lippspringe	51.78	8.82	24.8	79	0	3.36
7182	co	policarpa	1.63	-77.46	66.36	98	100	1.92
992	az	kesla	40.4	49.9	51.8	87	0	20.8
16630	ie	cork	51.9	-8.5	35.6	80	20	3.36
20081	it	arco	45.92	10.88	39.2	60	40	10.29
37036	ru	milkovo	54.72	158.62	20.91	52	64	7.74
19299	in	santoshpur	22.53	88.26	77	88	0	4.61
32927	ro	dolhasca	47.43	26.6	24.8	79	20	13.87
22559	lu	nospelt	49.68	6.01	30.87	86	0	10.29
42611	us	watsonville	36.91	-121.76	54.91	76	40	33.33
13678	gr	kariotissa	40.77	22.31	51.8	57	20	6.93
20489	it	gualdo tadino	43.23	12.78	32	97	90	4.7
46528	yt	boueni	-12.9	45.08	77	94	0	3.36
8490	de	bad doberan	54.1	11.9	26.6	92	0	4.7
13275	gn	lola	7.8	-8.53	69.06	97	32	5.17
706	at	reutte	47.48	10.72	25.43	92	76	3.36
22883	mk	kumanovo	42.13	21.71	44.6	75	75	9.17
29794	ph	san eduardo	12.17	125.45	81.39	97	56	9.53
27388	ph	bayanga	7.54	124.24	76.44	89	36	3.38
31843	pt	valega	40.84	-8.58	42.8	60	0	9.17
31458	pt	alcains	39.92	-7.46	33.42	65	0	11.32
40141	th	den chai	17.98	100.05	72.07	69	88	2.82
17272	in	bhum	18.47	75.67	77.61	37	0	9.19
4275	bs	dunmore town	25.5	-76.65	76.26	96	0	22.97
43691	us	kennebunk	43.38	-70.55	30.72	79	68	3.38
26096	no	sveio	59.54	5.35	35.6	100	80	5.82
14356	gr	vironia	41.28	23.23	34.95	88	88	1.92
16224	id	buduran	-7.27	112.56	83.19	97	8	6.4
22353	ls	teyateyaneng	-29.15	27.73	43.23	88	24	2.59
35379	ru	berikulskiy	55.53	88.14	20.55	80	64	3.94
30218	ph	sindon	17.06	122.02	74.55	99	68	2.71
42805	us	cocoa beach	28.32	-80.61	68.38	94	75	13.87
18024	in	jhusi	25.43	81.93	80.49	60	8	5.84
46453	vn	vinh yen	21.31	105.6	68	60	20	9.17
23951	mx	jaltipan	17.97	-94.7	78.8	88	40	11.41
26531	pa	rio hato	8.38	-80.17	77.16	83	8	12.77
2169	bo	colomi	-17.35	-65.87	64.4	45	75	8.05
4926	ca	saint-andre-avellin	45.72	-75.05	25.77	45	20	4.7
20538	it	lerici	44.07	9.92	28.9	61	75	18.34
19984	ir	shahr-e kord	32.33	50.86	30.2	36	0	2.24
43036	us	winter springs	28.7	-81.31	69.4	77	1	11.41
5611	ci	sinfra	6.62	-5.91	75.81	88	44	3.71
36187	ru	kara-tyube	44.63	45.44	39.99	99	92	5.28
38461	ru	syumsi	57.11	51.61	10.2	80	56	5.17
11613	fr	forbach	49.19	6.89	24.01	92	0	3.36
34656	ro	vama buzaului	45.58	25.98	23.61	98	56	1.36
13141	ge	zugdidi	42.5	41.86	51.8	100	90	11.41
39423	se	jonkoping	57.78	14.18	23	67	24	5.82
37851	ru	rakhya	60.09	30.84	17.6	85	90	15.66
37389	ru	novyye lapsary	56.07	47.21	10.4	60	0	8.95
36656	ru	kstovo	56.15	44.2	15.8	72	0	4.47
37040	ru	mindyak	54.02	58.79	6.8	84	0	2.24
27644	ph	cabanatuan	15.49	120.97	80.6	69	40	9.17
22229	kz	zachagansk	51.18	51.34	6.8	84	0	8.95
21676	jp	oga	39.87	139.85	35.6	47	0	8.05
41353	ua	kiliya	45.46	29.26	26.6	92	36	5.82
11625	fr	gaillard	46.19	6.22	33.93	78	40	16.11
45670	us	haltom city	32.8	-97.27	57.74	26	5	5.73
28456	ph	kibangay	8.05	124.89	76.08	98	32	2.82
44182	us	monticello	45.31	-93.79	28.56	86	1	5.82
7033	co	madrid	4.73	-74.26	57.2	82	75	2.24
37307	ru	novoilinskiy	57.9	55.48	14	66	0	17.9
15095	hn	rancho grande	14.68	-87.5	84.2	45	75	19.46
15988	hu	soskut	47.41	18.82	30.2	86	90	9.17
40416	tn	akkudah	35.87	10.57	53.6	50	20	3.36
23446	mx	baca	21.1	-89.42	78.8	74	40	11.41
14390	gr	yerani	35.35	24.4	48.2	81	20	3.38
18669	in	mulbagal	13.17	78.4	75.9	59	0	4.16
17656	in	farakka	24.82	87.9	80.58	52	0	3.6
12415	gb	coalburn	55.58	-3.9	35.6	80	48	1.12
15549	hu	fehergyarmat	47.98	22.52	28.4	79	12	4.7
12736	gb	londonderry	55.0	-7.25	38.91	86	68	14.67
42985	us	san carlos park	26.47	-81.8	71.65	87	90	9.17
35903	ru	gorbatovka	56.26	43.75	15.8	72	0	4.47
8004	cz	jevicko	49.63	16.71	22.62	68	0	14.99
35805	ru	elista	46.31	44.26	37.4	93	20	15.66
7337	co	san pedro	6.46	-75.56	60.8	93	75	2.24
37150	ru	narovchat	53.88	43.69	3.18	64	76	2.93
41927	ua	zlynka	48.49	31.54	21.27	90	80	13.89
35363	ru	belyy yar	58.44	85.04	20.82	72	92	5.95
41408	ua	krasnyy oktyabr	48.25	38.2	35.04	96	92	11.65
10780	es	cuenca	40.07	-2.13	26.85	71	0	18.37
16367	id	lumajang	-8.13	113.22	85.17	96	0	2.59
6433	cn	xinxiang	35.31	113.87	47.19	52	0	1.25
16232	id	ciawi	-6.53	106.58	78.8	88	40	18.34
14175	gr	prokhoma	40.8	22.66	51.8	57	20	6.93
16949	in	antri	26.06	78.21	72.75	60	20	4.94
38681	ru	udarnyy	54.34	42.86	4.62	60	76	2.71
832	au	devonport	-41.18	146.35	59.79	62	0	9.08
11821	fr	merville	50.64	2.64	35.64	86	80	8.05
39801	sn	bakel	14.9	-12.45	75.72	22	0	11.43
24703	mx	tila	17.4	-92.48	69.51	94	44	1.81
16794	il	qiryat yam	32.85	35.07	65.28	100	0	5.5
41275	ua	dzhuryn	48.68	28.29	19.38	88	44	11.21
27228	ph	balingcanaway	15.48	120.69	80.6	69	40	9.17
18722	in	nagireddipalle	14.27	79.1	80.04	53	0	3.83
34804	ro	zorlentu mare	45.45	21.96	31.1	92	75	4.7
15457	hu	cigand	48.26	21.89	21.2	79	0	2.24
45019	us	englewood	39.88	-84.3	32.92	92	90	17.22
349	am	ranchpar	40.03	44.37	55.4	50	75	1.12
39210	ru	zavety ilicha	49.03	140.25	33.51	72	20	10.31
18679	in	mundwa	27.07	73.82	71.76	35	0	5.28
3119	br	itapeva	-23.97	-48.87	69.87	93	24	4.83
22160	kz	ekibastuz	51.67	75.37	34.41	95	80	7.74
27800	ph	cansilayan	10.56	123.02	84.72	63	0	10.76
44889	us	clemmons	36.02	-80.38	37.18	93	90	9.17
26404	pa	david	8.43	-82.43	82.4	78	20	2.24
1205	ba	solina	44.56	18.69	26.22	93	92	2.82
27127	ph	bacon	13.04	124.04	80.85	100	24	8.63
29027	ph	manubul	5.47	120.8	83.37	100	48	11.65
27054	ph	anonang	16.11	120.44	83.01	60	0	3.38
13989	gr	nea makri	38.08	23.98	46.29	70	0	4.7
3078	br	itabira	-19.62	-43.22	71.6	83	0	2.24
10284	dz	algiers	36.76	3.05	42.8	93	40	4.7
35678	ru	dedovichi	57.55	29.95	23.34	87	56	9.19
45057	us	marion	40.59	-83.13	32.45	76	90	12.75
34049	ro	rosiesti	46.43	27.88	21.36	86	0	5.39
39720	sk	vrutky	49.12	18.92	22.48	92	0	1.12
32399	ro	botoroaga	44.15	25.54	25.65	92	32	2.24
38688	ru	ufimskiy	56.71	58.05	7.23	83	0	6.4
22474	lu	bereldange	49.66	6.13	30.87	86	0	10.29
10884	es	logrono	42.47	-2.45	35.6	96	75	11.41
27746	ph	calongbuyan	17.18	120.47	84.27	49	0	4.05
2251	bo	viloco	-16.95	-67.55	42.69	90	0	1.59
7130	co	otanche	5.66	-74.18	66.09	100	68	0.92
41617	ua	pidhorodna	48.11	30.89	19.02	86	0	11.77
37674	ru	plyussa	58.42	29.42	19.11	91	56	5.61
3386	br	milagres	-7.28	-38.95	69.69	93	68	3.94
42787	us	bellview	30.46	-87.32	58.59	54	40	12.75
6907	co	guachucal	0.96	-77.73	60.51	99	88	2.04
10	af	acin	34.08	70.67	59	62	20	3.38
46464	wf	halalo	-13.35	-176.18	80.4	100	64	9.75
14664	gt	santa catarina pinula	14.57	-90.5	68	82	20	0.13
32611	ro	cerna	45.08	28.32	26.6	92	0	5.82
13102	ge	khoni	42.32	42.43	51.8	100	90	11.41
34965	rs	pirot	43.15	22.59	33.8	80	75	11.41
41326	ua	kalanchak	46.26	33.29	29.55	92	0	15.23
45193	us	yukon	35.51	-97.76	52.09	43	1	5.82
3097	br	itajuipe	-14.68	-39.37	69.51	96	0	2.82
21725	jp	sadowara	32.03	131.43	55.4	93	75	9.17
26572	pa	volcan	8.77	-82.63	82.4	78	20	2.24
21247	jp	chitose	42.82	141.65	33.8	43	20	4.7
31947	py	itaugua	-25.38	-57.33	73.4	94	90	8.05
29784	ph	san casimiro	15.55	120.78	80.6	69	40	9.17
4140	br	timon	-5.1	-42.82	80.6	78	75	4.7
6339	cn	sujiatun	41.66	123.34	35.6	34	0	4.47
9978	dk	gilleleje	56.12	12.31	24.37	85	32	3.36
9273	de	marl	51.65	7.08	27.19	73	0	1.12
16492	id	sidoarjo	-7.45	112.72	83.19	97	8	6.4
20603	it	melendugno	40.27	18.33	51.22	87	0	9.17
43449	us	jasper	38.39	-86.93	33.8	86	90	12.75
43030	us	westview	25.88	-80.24	78.55	74	1	13.87
4606	ca	fairview	56.07	-118.4	37.4	69	75	3.36
20145	it	bisignano	39.52	16.28	30.2	100	90	13.87
41049	tz	namanyere	-7.52	31.05	53.67	90	20	2.93
32662	ro	ciocanesti	44.6	25.85	25.72	92	32	5.82
41336	ua	katyuzhanka	50.81	30.14	20.23	92	92	8.95
12436	gb	crewe	53.1	-2.43	30.22	100	12	2.24
31514	pt	barcelos	41.54	-8.62	42.8	60	0	9.17
33968	ro	racoasa	46.0	26.88	26.6	86	90	2.59
22651	lv	preili	56.3	26.72	22.89	81	44	13.67
3661	br	piracuruca	-3.93	-41.7	70.32	93	8	3.38
21655	jp	nishiwaki	34.98	134.97	44.64	87	75	24.16
4738	ca	lethbridge	49.7	-112.83	37.4	69	20	14.99
7707	cu	guantanamo	20.14	-75.21	78.8	65	20	4.7
7556	co	zarzal	4.39	-76.07	69.8	88	40	6.93
43170	us	hailey	43.52	-114.31	39.2	60	40	1.92
42455	us	orange cove	36.62	-119.31	55.4	87	90	3.38
14271	gr	stefanovikion	39.47	22.73	46.4	65	20	8.05
9403	de	oberkirch	48.53	8.08	30.15	81	0	8.05
8406	cz	vysoke myto	49.95	16.15	25.77	85	0	5.82
26659	pe	huayucachi	-12.13	-75.23	37.56	83	44	1.59
46063	us	white center	47.52	-122.35	53.64	53	40	10.29
3002	br	ibiracu	-19.83	-40.37	80.6	83	20	8.05
5054	ca	timmins	48.47	-81.33	10.4	43	5	4.7
20041	it	acri	39.48	16.38	41.23	100	90	13.87
16624	ie	claremorris	53.72	-9.0	34.14	99	76	8.63
12890	gb	rosehearty	57.68	-2.12	32	97	8	2.24
40323	th	thung song	8.16	99.68	78.8	78	20	3.15
18096	in	kamareddi	18.32	78.35	87.24	38	100	6.17
22058	ke	sotik	-0.68	35.12	48.72	91	8	8.63
37810	ru	provideniya	64.38	-173.3	21.2	85	90	13.42
5589	ci	duekoue	6.74	-7.35	73.11	97	0	5.17
21025	it	subiaco	41.92	13.1	46.8	81	75	13.87
44172	us	lino lakes	45.16	-93.09	28.4	79	90	4.5
12493	gb	durham	54.77	-1.57	30.92	80	0	9.17
46052	us	tacoma	47.25	-122.44	53.82	57	1	4.7
9298	de	mettlach	49.5	6.6	28.04	85	0	10.29
20208	it	canelli	44.72	8.28	38.16	52	40	14.99
40438	tn	manzil tamim	36.78	10.99	50.86	66	0	6.93
5235	cf	obo	5.4	26.5	71.22	88	80	3.49
46353	ve	nirgua	10.15	-68.56	63.57	94	8	2.37
45052	us	lyndhurst	41.52	-81.49	33.57	59	90	19.46
9062	de	ihlow	51.88	13.33	22.21	92	44	2.24
35450	ru	bolshaya atnya	56.25	49.45	5.79	81	44	3.38
766	at	wolfsberg	46.84	14.84	26.58	58	75	2.24
25084	my	tangkak	2.27	102.55	80.6	83	75	3.36
24580	mx	teapa	17.55	-92.95	78.8	83	20	4.7
14622	gt	san lorenzo	14.48	-91.52	78.15	93	48	0.92
36894	ru	lyubinskiy	55.15	72.69	19.4	85	75	6.71
40651	tr	mardin	37.31	40.74	44.04	82	0	5.5
44986	us	blue ash	39.23	-84.38	33.8	99	90	10.29
46062	us	west richland	46.3	-119.36	61.59	27	1	5.82
1266	bd	badarganj	25.67	89.05	79.14	59	0	7.63
3839	br	salgado de sao felix	-7.35	-35.43	76.1	74	20	6.93
35752	ru	dubki	43.02	46.84	44.6	93	40	17.9
29793	ph	sandulot	9.1	123.02	80.6	88	40	6.93
6292	cn	sanmenxia	34.77	111.18	45.39	66	0	3.38
19709	in	vadakku valliyur	8.38	77.65	80.13	78	0	2.93
34491	ro	tileagd	47.07	22.2	28.4	74	48	10.29
16644	ie	enniscorthy	52.5	-6.56	23.88	87	24	4.5
20172	it	brunico	46.8	11.93	24.8	73	75	1.12
31763	pt	rio de mouro	38.77	-9.33	49.24	70	0	9.17
14435	gt	chiche	15.01	-91.06	57.54	56	0	3.15
2234	bo	santa rosa	-14.17	-66.88	72.84	97	20	4.16
46723	za	warrenton	-28.11	24.85	59.16	97	80	11.54
20932	it	san pietro vernotico	40.49	18.0	51.04	87	0	9.17
37296	ru	novocheboksarsk	56.11	47.48	10.4	60	0	8.95
6700	co	capitanejo	6.53	-72.7	49.62	87	36	1.7
13259	gn	dalaba	10.7	-12.25	69.6	76	8	4.38
32937	ro	dornesti	47.87	26.02	24.8	79	20	13.87
25502	nl	delfzijl	53.33	6.92	29.77	100	90	4.7
12652	gb	kemnay	57.23	-2.45	32	97	20	2.24
19583	in	teonthar	24.98	81.65	74.55	56	64	8.52
42624	us	windsor	38.55	-122.82	52.3	100	90	7.52
25493	nl	capelle	51.93	4.58	33.84	83	56	4.7
1190	ba	puracic	44.55	18.48	26.22	93	92	2.82
19547	in	talen	23.57	76.72	76.08	37	0	4.72
7870	cz	cercany	49.85	14.71	27.34	92	90	11.41
14816	hn	concepcion del sur	14.8	-88.17	72.48	75	8	1.81
6649	co	bochalema	7.61	-72.65	80.6	69	40	2.24
